           A         B         C         D         E         F
0   1.028313  0.520818  0.907477 -2.393423 -2.412111 -1.063873
1   1.491139  1.004390  0.321745 -0.764567  0.142699 -0.134462
2   0.305151  0.330061 -1.790661 -1.648667  0.393474 -0.368682
3   2.001096  0.596828  1.029261  0.281947 -0.465182  1.250540
4  -0.373425  0.636459 -0.325825  0.043992  0.886101  1.609916
5   3.619106  1.616451  1.788498 -2.039044 -1.021295 -0.316188
6   3.495896  0.360421  2.605649 -1.551996 -1.096222 -1.191167
7   1.376067  0.333647  0.397800 -4.074053 -0.623165 -0.683150
8   0.796149 -0.706101  0.672884  1.548564 -3.014980  0.092040
9   1.201238  0.256935  0.125854  0.134015  0.341772  0.733846
10  3.832279 -0.046845  2.810713  1.701600 -4.658913 -0.224720
11  0.957991 -0.699652  0.978599  0.907602 -0.165766  0.535547
12  0.363793  0.376555  0.113469  0.892434  0.503041  0.089053
13  1.392566 -0.703533  1.154407  1.090540 -0.364010 -0.113560
14  4.960953 -1.159239  3.192002  0.015838  1.194158  0.108415
15 -1.797751  4.657424 -2.117369 -0.170195  0.343601 -0.159141
16  3.847149  2.709249  3.017578 -2.649960 -2.861022 -2.102648
17  3.692708  0.814232  2.789871 -0.868238 -3.972914  0.799668
18  1.586935  0.980664  0.058662 -1.812887  1.176471 -1.656129
19  0.222946  0.573026  0.174874  1.777971  0.771220 -1.522034
20  2.758479  0.680897  2.078738 -0.670662 -3.124723  0.286591
21  3.388251  1.859519  2.044233 -3.026445 -0.605569 -1.723919
22  2.556640 -3.009915  1.968560 -1.375483 -0.590261  0.258910
23 -0.855873  0.069323 -0.854044  1.173008  2.756261  0.162056
24  6.525020  0.609927  5.329115 -0.516897 -4.595254  0.720167
25  0.364799 -0.652069  0.767568 -0.393770  0.068074  1.653673
26  1.040025  0.627423  0.981022 -1.070244 -1.071230 -0.029519
27  2.557240  1.894973  2.379974 -0.115020 -5.067414  1.041413
28  1.915396 -0.400647  1.852166 -0.978256 -2.774424  0.215600
29 -1.594853  0.831429 -1.549431 -0.082004  0.909525  0.536636
30  4.350651 -3.671759  2.727318 -1.162703 -2.306295  0.967533
31 -0.436980  2.524188 -1.733999  0.915919  2.771853  0.773645
32  1.752000  0.959674  1.033710  0.688985 -2.174691  0.516812
33  1.075685  1.438757  1.123175 -0.868123 -1.273594 -0.593892
34 -1.148256  1.771198 -1.029604  0.380403  2.438467 -0.088716
35  0.672953  1.076686 -0.838454 -0.142127 -0.312602  0.307832
36 -0.270390  1.984367 -1.378038  0.947117  1.175867  0.064313
37  3.426619  1.738795  1.117565 -2.750910 -0.725639 -1.452164
38  3.929444  1.060869  2.942121 -3.116868 -3.208449 -1.169335
39  4.112901  0.613058  2.274690 -1.339890 -2.833516 -0.448470
40  1.926029  0.662987 -0.111794 -3.712103 -0.844592 -0.987445
41  2.702968  0.153036  2.759196  1.650131 -2.845986 -0.697106
42  1.985095  1.188629  1.317393 -2.900067 -2.951030 -1.805705
43  0.888637 -2.531579  1.477652 -1.724695 -1.529750 -0.423633
44  2.718053  1.148900  2.445891 -2.803660 -1.729601 -1.255039
45 -0.444581  1.048084 -0.507958  0.615988  1.431727  0.630485
46  2.133415  0.237815  2.090008  1.834218 -4.632654 -0.831283
47  1.776213  0.143362  0.828592 -0.507752 -0.432596  0.271269
48  4.455403  1.809409  2.918367  1.135433 -4.494526  0.074896
49  1.878038 -0.482966  1.887144  0.342300 -0.550505  0.580017
50  1.354690  0.873439 -0.902863  2.949548  0.779207 -1.479512
51  1.214141  0.887905  0.004501 -2.684419  0.237749 -1.545188
52  0.940070  0.295422  0.996333  0.289964 -1.985605  0.281337
53  3.020025  0.314154  1.844305  2.725977 -4.203671 -1.004501
54  1.175253  1.184700  0.983188 -2.916615 -2.490959 -1.425579
55  3.259185 -1.171219  2.374734 -0.480639 -2.837434  0.763135
56 -0.038968 -0.265851 -1.020511 -1.411417  0.935813 -0.278788
57  2.820926 -0.686574  2.861635 -0.411100 -2.554515  0.311513
58  1.854523  0.573741  0.573433  0.452173  0.394102  1.129144
59  2.434006  0.368561  2.400398  0.613462 -3.975247  1.116065
60  2.086822  0.348321  1.899398 -2.175365 -2.514316 -0.636958
61  2.094034  1.925460 -0.977369 -0.258838  0.424811  0.877122
62  1.757281 -1.021739  1.788281 -1.479752 -2.804585 -0.404109
63  3.300354  0.223973  1.325599 -2.242020  0.002417 -0.980749
64  0.709821 -0.074435 -0.268015  1.351294  2.053249 -0.362677
65  1.215982  0.835073  0.374256 -2.229982  3.246963 -1.297219
66  1.035708  0.197632  1.063288 -2.669810 -2.226328 -0.249456
67  0.987040  0.059663  0.953068 -1.020406 -1.472675 -0.130970
68  1.592133  0.651365  1.658841 -1.644367 -2.840302 -0.517773
69  2.202268  0.120304  2.230869 -0.388779 -1.139819  0.821952
70  6.136340  1.464019  5.103196  0.207835 -3.598805  0.420715
71  0.964700  0.854312 -0.826428 -0.775927  3.109755  0.403131
72  0.426366  0.064223 -1.570676 -1.264471  2.475464  0.701452
73  0.657990  0.629503 -0.266134 -2.927333 -2.362128 -1.861596
74 -0.604215  1.351581  0.662399 -1.940908  1.884464 -1.198537
75  2.971771 -1.619860  2.143725  1.026821 -0.910370 -0.099348
76  2.236944  1.560387  1.633315 -1.707392 -0.577448 -0.581390
77 -1.020720  4.189903 -2.356468  2.469643 -0.050993 -1.576824
78  2.720719  0.693353  2.639288 -0.550328 -2.108069  0.954758
79  2.945094  0.644127  1.819561 -0.085369 -2.681449  0.923243
80  1.779520 -0.256219  1.804263  0.176785 -1.637513  0.233799
81  3.248445  1.085556  2.332088 -0.928179  1.089903 -0.207775
82  3.637375  1.105346  2.522170 -1.938367 -1.858868 -0.935321
83  2.099313  0.731173  2.109551 -1.627804 -1.126855 -0.327485
84  0.332705  0.270641 -0.772790  0.272498  0.982792  0.893567
85 -1.932567  2.084555 -2.162459 -1.300527  4.843163 -0.074069
86  0.986391  0.464261  0.078663  0.131180  2.608044  0.357729
87  1.898605  0.915951  1.633808 -0.141072 -1.908397  0.108698
88  0.477102  0.917572 -1.378820 -1.937322 -0.647536 -1.662381
89  2.100326  0.637612 -0.030838 -0.311224 -0.864821  0.951787
90  2.838557  0.746488  0.759943 -0.575366  2.762398 -0.036587
91  1.729389 -0.669351  0.580812 -0.069238 -0.261393  0.767871
92 -1.132181  2.050123 -3.069333  0.681577  2.184009  0.495079
93  0.842160  0.910039 -0.036068 -0.541448 -2.239637  0.060586
94  1.923116  0.610065  0.030526 -1.892117 -0.583612 -1.304070
95 -1.439327  0.623917 -2.375307  0.606522  1.935923  0.790846
96  3.648862  4.001700  4.232354 -3.913653 -7.430206 -0.770292
97  2.572175  0.821894  3.012785 -1.950307 -1.117981 -0.619128
98  3.994582  0.956371  2.406932 -4.431120 -1.303314 -1.438473
99  1.414205  0.610301  0.276009  1.778300 -0.050443 -0.850986
